,head id,head name,tail id,tail name,pathway,link type,relation name,relation value,entry1,entry2,Unnamed: 0
3458,cpd:C00130,C00130,hsa:270,AMPD1,hsa00230,ECrel,compound,330,203.0,184.0,
3469,hsa:100526794,NT5C1B-RDH14,cpd:C00655,C00655,hsa00230,ECrel,compound,392,217.0,262.0,
3470,cpd:C00655,C00655,hsa:3704,ITPA,hsa00230,ECrel,compound,392,217.0,262.0,
3472,cpd:C00655,C00655,hsa:8833,GMPS,hsa00230,ECrel,compound,392,217.0,205.0,
3474,cpd:C00655,C00655,hsa:3614,IMPDH1,hsa00230,ECrel,compound,392,217.0,204.0,
3476,cpd:C00655,C00655,hsa:3251,HPRT1,hsa00230,ECrel,compound,392,217.0,215.0,
3477,hsa:3704,ITPA,cpd:C00655,C00655,hsa00230,ECrel,compound,392,262.0,205.0,
3483,hsa:8833,GMPS,cpd:C00655,C00655,hsa00230,ECrel,compound,392,205.0,204.0,
3487,hsa:3614,IMPDH1,cpd:C00655,C00655,hsa00230,ECrel,compound,392,204.0,215.0,
3489,hsa:4860,PNP,cpd:C01762,C01762,hsa00230,ECrel,compound,367,193.0,217.0,
3490,cpd:C01762,C01762,hsa:100526794,NT5C1B-RDH14,hsa00230,ECrel,compound,367,193.0,217.0,
3491,hsa:4860,PNP,cpd:C00385,C00385,hsa00230,ECrel,compound,343,193.0,215.0,
3492,cpd:C00385,C00385,hsa:3251,HPRT1,hsa00230,ECrel,compound,343,193.0,215.0,
3494,cpd:C00385,C00385,hsa:7498,XDH,hsa00230,ECrel,compound,343,193.0,211.0,
3502,cpd:C00385,C00385,hsa:9615,GDA,hsa00230,ECrel,compound,343,193.0,221.0,
3503,hsa:3251,HPRT1,cpd:C00385,C00385,hsa00230,ECrel,compound,343,215.0,211.0,
3513,hsa:7498,XDH,cpd:C00385,C00385,hsa00230,ECrel,compound,343,211.0,255.0,
3525,hsa:318,NUDT2,cpd:C00700,C00700,hsa00230,ECrel,compound,393,274.0,262.0,
3526,cpd:C00700,C00700,hsa:3704,ITPA,hsa00230,ECrel,compound,393,274.0,262.0,
3527,hsa:8833,GMPS,cpd:C00144,C00144,hsa00230,ECrel,compound,365,205.0,203.0,
3528,cpd:C00144,C00144,hsa:2766,GMPR,hsa00230,ECrel,compound,365,205.0,203.0,
3530,cpd:C00144,C00144,hsa:10846,PDE10A,hsa00230,ECrel,compound,365,205.0,244.0,
3532,cpd:C00144,C00144,hsa:377841,ENTPD8,hsa00230,ECrel,compound,365,205.0,206.0,
3534,cpd:C00144,C00144,hsa:124583,CANT1,hsa00230,ECrel,compound,365,205.0,207.0,
3536,cpd:C00144,C00144,hsa:2987,GUK1,hsa00230,ECrel,compound,365,205.0,219.0,
3538,cpd:C00144,C00144,hsa:3251,HPRT1,hsa00230,ECrel,compound,365,205.0,218.0,
3540,cpd:C00144,C00144,hsa:100526794,NT5C1B-RDH14,hsa00230,ECrel,compound,365,205.0,212.0,
3541,hsa:2766,GMPR,cpd:C00144,C00144,hsa00230,ECrel,compound,365,203.0,244.0,
3553,hsa:10846,PDE10A,cpd:C00144,C00144,hsa00230,ECrel,compound,365,244.0,206.0,
3563,hsa:377841,ENTPD8,cpd:C00144,C00144,hsa00230,ECrel,compound,365,206.0,218.0,
3567,hsa:124583,CANT1,cpd:C00144,C00144,hsa00230,ECrel,compound,365,207.0,218.0,
3571,hsa:2987,GUK1,cpd:C00144,C00144,hsa00230,ECrel,compound,365,219.0,218.0,
3575,hsa:3251,HPRT1,cpd:C00144,C00144,hsa00230,ECrel,compound,365,218.0,212.0,
3577,hsa:100526794,NT5C1B-RDH14,cpd:C00387,C00387,hsa00230,ECrel,compound,366,212.0,241.0,
3578,cpd:C00387,C00387,hsa:144811,LACC1,hsa00230,ECrel,compound,366,212.0,241.0,
3579,hsa:144811,LACC1,cpd:C00242,C00242,hsa00230,ECrel,compound,355,241.0,218.0,
3580,cpd:C00242,C00242,hsa:3251,HPRT1,hsa00230,ECrel,compound,355,241.0,218.0,
3581,hsa:4860,PNP,cpd:C00242,C00242,hsa00230,ECrel,compound,355,220.0,221.0,
3582,cpd:C00242,C00242,hsa:9615,GDA,hsa00230,ECrel,compound,355,220.0,221.0,
3583,hsa:100526794,NT5C1B-RDH14,cpd:C00330,C00330,hsa00230,ECrel,compound,356,240.0,220.0,
3584,cpd:C00330,C00330,hsa:4860,PNP,hsa00230,ECrel,compound,356,240.0,220.0,
3585,hsa:1633,DCK...,cpd:C00330,C00330,hsa00230,ECrel,compound,356,272.0,220.0,
3587,hsa:2987,GUK1,cpd:C00362,C00362,hsa00230,ECrel,compound,357,237.0,240.0,
3588,cpd:C00362,C00362,hsa:100526794,NT5C1B-RDH14,hsa00230,ECrel,compound,357,237.0,240.0,
3590,cpd:C00362,C00362,hsa:1633,DCK...,hsa00230,ECrel,compound,357,237.0,272.0,
3591,hsa:2987,GUK1,cpd:C00361,C00361,hsa00230,ECrel,compound,360,237.0,238.0,
3592,cpd:C00361,C00361,hsa:10201,NME6,hsa00230,ECrel,compound,360,237.0,238.0,
3593,hsa:50484,RRM2B,cpd:C00361,C00361,hsa00230,ECrel,compound,360,141.0,238.0,
3596,cpd:C00361,C00361,hsa:2987,GUK1,hsa00230,ECrel,compound,360,141.0,237.0,
3597,hsa:10201,NME6,cpd:C00044,C00044,hsa00230,ECrel,compound,380,236.0,270.0,
3598,cpd:C00044,C00044,hsa:318,NUDT2,hsa00230,ECrel,compound,380,236.0,270.0,
3599,hsa:377841,ENTPD8,cpd:C00044,C00044,hsa00230,ECrel,compound,380,235.0,270.0,
3601,hsa:58497,PRUNE1,cpd:C01228,C01228,hsa00230,ECrel,compound,364,233.0,232.0,
3602,cpd:C01228,C01228,hsa:374659,HDDC3,hsa00230,ECrel,compound,364,233.0,232.0,
3603,hsa:107,ADCY1,cpd:C00942,C00942,hsa00230,ECrel,compound,382,295.0,244.0,
3604,cpd:C00942,C00942,hsa:10846,PDE10A,hsa00230,ECrel,compound,382,295.0,244.0,
3605,hsa:2977,GUCY1A2,cpd:C00942,C00942,hsa00230,ECrel,compound,382,243.0,244.0,
3607,hsa:2977,GUCY1A2,cpd:C00044,C00044,hsa00230,ECrel,compound,380,243.0,236.0,
3608,cpd:C00044,C00044,hsa:10201,NME6,hsa00230,ECrel,compound,380,243.0,236.0,
3610,cpd:C00044,C00044,hsa:377841,ENTPD8,hsa00230,ECrel,compound,380,243.0,235.0,
3613,hsa:107,ADCY1,cpd:C00044,C00044,hsa00230,ECrel,compound,380,295.0,236.0,
3619,hsa:377841,ENTPD8,cpd:C00035,C00035,hsa00230,ECrel,compound,362,206.0,141.0,
3620,cpd:C00035,C00035,hsa:50484,RRM2B,hsa00230,ECrel,compound,362,206.0,141.0,
3622,cpd:C00035,C00035,hsa:377841,ENTPD8,hsa00230,ECrel,compound,362,206.0,235.0,
3624,cpd:C00035,C00035,hsa:10201,NME6,hsa00230,ECrel,compound,362,206.0,236.0,
3625,hsa:124583,CANT1,cpd:C00035,C00035,hsa00230,ECrel,compound,362,207.0,141.0,
3631,hsa:2987,GUK1,cpd:C00035,C00035,hsa00230,ECrel,compound,362,219.0,141.0,
3637,hsa:50484,RRM2B,cpd:C00035,C00035,hsa00230,ECrel,compound,362,141.0,235.0,
3641,hsa:270,AMPD1,cpd:C00014,C00014,hsa00230,maplink,compound,329,184.0,253.0,
3642,cpd:C00014,C00014,path:hsa00220,Arginine biosynthesis,hsa00230,maplink,compound,329,184.0,253.0,
3643,hsa:10606,PAICS,cpd:C03373,C03373,hsa00230,maplink,compound,371,170.0,158.0,
3644,cpd:C03373,C03373,path:hsa00730,Thiamine metabolism,hsa00230,maplink,compound,371,170.0,158.0,
3647,hsa:2618,GART,cpd:C03090,C03090,hsa00230,maplink,compound,313,164.0,155.0,
3648,cpd:C03090,C03090,path:hsa00250,Alanine,hsa00230,maplink,compound,313,164.0,155.0,
3651,hsa:5471,PPAT,cpd:C00119,C00119,hsa00230,maplink,compound,312,162.0,156.0,
3652,cpd:C00119,C00119,path:hsa00030,Pentose phosphate pathway,hsa00230,maplink,compound,312,162.0,156.0,
3655,path:hsa00790,Folate biosynthesis,cpd:C00044,C00044,hsa00230,maplink,compound,380,252.0,270.0,
3662,cpd:C00044,C00044,hsa:2977,GUCY1A2,hsa00230,maplink,compound,380,252.0,243.0,
3664,cpd:C00044,C00044,hsa:107,ADCY1,hsa00230,maplink,compound,380,252.0,295.0,
3665,path:hsa00740,Riboflavin metabolism,cpd:C00044,C00044,hsa00230,maplink,compound,380,251.0,270.0,
3675,hsa:374659,HDDC3,cpd:C00035,C00035,hsa00230,ECrel,compound,362,232.0,236.0,
3682,cpd:C00035,C00035,hsa:2987,GUK1,hsa00230,ECrel,compound,362,232.0,219.0,
3684,cpd:C00035,C00035,hsa:124583,CANT1,hsa00230,ECrel,compound,362,232.0,207.0,
3687,hsa:9615,GDA,cpd:C00242,C00242,hsa00230,ECrel,compound,355,221.0,218.0,
3690,cpd:C00242,C00242,hsa:144811,LACC1,hsa00230,ECrel,compound,355,221.0,241.0,
3696,cpd:C00262,C00262,hsa:4860,PNP,hsa00230,ECrel,compound,332,213.0,191.0,
3697,hsa:10201,NME6,cpd:C00002,C00002,hsa00230,ECrel,compound,390,177.0,173.0,
3700,cpd:C00020,C00020,hsa:10846,PDE10A,hsa00230,ECrel,compound,325,181.0,172.0,
3702,cpd:C00020,C00020,hsa:158,ADSL,hsa00230,ECrel,compound,325,181.0,182.0,
3707,hsa:10846,PDE10A,cpd:C00020,C00020,hsa00230,ECrel,compound,325,172.0,182.0,
3710,cpd:C00020,C00020,hsa:270,AMPD1,hsa00230,ECrel,compound,325,172.0,184.0,
3717,hsa:158,ADSL,cpd:C00020,C00020,hsa00230,ECrel,compound,325,182.0,184.0,
3725,hsa:10201,NME6,cpd:C00008,C00008,hsa00230,ECrel,compound,324,177.0,176.0,
3729,hsa:954,ENTPD2,cpd:C00008,C00008,hsa00230,ECrel,compound,324,176.0,310.0,
3734,cpd:C00117,C00117,hsa:5236,PGM1,hsa00230,ECrel,compound,311,161.0,433.0,
3735,hsa:5236,PGM1,cpd:C00117,C00117,hsa00230,ECrel,compound,311,433.0,278.0,
3737,hsa:27115,PDE7B,cpd:C00020,C00020,hsa00230,ECrel,compound,325,432.0,182.0,
3753,hsa:100526794,NT5C1B-RDH14,cpd:C00020,C00020,hsa00230,ECrel,compound,325,185.0,186.0,
3755,hsa:131870,NUDT16,cpd:C01344,C01344,hsa00230,ECrel,compound,378,437.0,291.0,
3756,cpd:C01344,C01344,hsa:10201,NME6,hsa00230,ECrel,compound,378,437.0,291.0,
3758,cpd:C00104,C00104,hsa:131870,NUDT16,hsa00230,ECrel,compound,369,201.0,435.0,
3762,cpd:C00130,C00130,hsa:131870,NUDT16,hsa00230,ECrel,compound,330,183.0,435.0,
3765,hsa:131870,NUDT16,cpd:C00130,C00130,hsa00230,ECrel,compound,330,435.0,258.0,
3775,hsa:10201,NME6,cpd:C01345,C01345,hsa00230,ECrel,compound,370,291.0,440.0,
3776,cpd:C01345,C01345,hsa:3704,ITPA,hsa00230,ECrel,compound,370,291.0,440.0,
3777,hsa:3704,ITPA,cpd:C06196,C06196,hsa00230,ECrel,compound,396,440.0,437.0,
3778,cpd:C06196,C06196,hsa:131870,NUDT16,hsa00230,ECrel,compound,396,440.0,437.0,
3779,hsa:50808,AK3,cpd:C00008,C00008,hsa00230,ECrel,compound,324,442.0,179.0,
3791,hsa:50808,AK3,cpd:C00020,C00020,hsa00230,ECrel,compound,325,442.0,182.0,
3802,cpd:C00020,C00020,hsa:27115,PDE7B,hsa00230,ECrel,compound,325,442.0,432.0,
3806,cpd:C00044,C00044,hsa:5167,ENPP1,hsa00230,ECrel,compound,380,235.0,445.0,
3807,hsa:5167,ENPP1,cpd:C00044,C00044,hsa00230,ECrel,compound,380,445.0,270.0,
3819,hsa:5167,ENPP1,cpd:C00144,C00144,hsa00230,ECrel,compound,365,445.0,244.0,
3821,hsa:100526794,NT5C1B-RDH14,cpd:C00144,C00144,hsa00230,ECrel,compound,365,212.0,445.0,
3822,cpd:C00144,C00144,hsa:5167,ENPP1,hsa00230,ECrel,compound,365,212.0,445.0,
3829,hsa:5167,ENPP1,cpd:C00020,C00020,hsa00230,ECrel,compound,325,444.0,432.0,
3842,cpd:C00020,C00020,hsa:5167,ENPP1,hsa00230,ECrel,compound,325,187.0,444.0,
3850,cpd:C00130,C00130,hsa:2766,GMPR,hsa00230,ECrel,compound,330,435.0,203.0,
3852,cpd:C00044,C00044,path:hsa00790,Folate biosynthesis,hsa00230,maplink,compound,380,251.0,252.0,
3854,cpd:C00360,C00360,hsa:51020,HDDC2,hsa00230,ECrel,compound,321,283.0,459.0,
3855,hsa:100,ADA,cpd:C00559,C00559,hsa00230,ECrel,compound,320,190.0,459.0,
3856,cpd:C00559,C00559,hsa:51020,HDDC2,hsa00230,ECrel,compound,320,190.0,459.0,
3859,hsa:4860,PNP,cpd:C00330,C00330,hsa00230,ECrel,compound,356,220.0,460.0,
3860,cpd:C00330,C00330,hsa:51020,HDDC2,hsa00230,ECrel,compound,356,220.0,460.0,
3862,cpd:C00362,C00362,hsa:51020,HDDC2,hsa00230,ECrel,compound,357,237.0,460.0,
3863,hsa:2987,GUK1,cpd:C22441,C22441,hsa00230,ECrel,compound,468,470.0,467.0,
3864,cpd:C22441,C22441,hsa:158,ADSL,hsa00230,ECrel,compound,468,470.0,467.0,
3865,hsa:10201,NME6,cpd:C22442,C22442,hsa00230,ECrel,compound,471,473.0,470.0,
3866,cpd:C22442,C22442,hsa:2987,GUK1,hsa00230,ECrel,compound,471,473.0,470.0,
3868,cpd:C00002,C00002,hsa:5167,ENPP1,hsa00230,ECrel,compound,390,176.0,444.0,
3875,hsa:107,ADCY1,cpd:C00002,C00002,hsa00230,ECrel,compound,390,173.0,444.0,
3883,hsa:7498,XDH,cpd:C00147,C00147,hsa00230,ECrel,compound,327,481.0,210.0,
3884,cpd:C00147,C00147,hsa:144811,LACC1,hsa00230,ECrel,compound,327,481.0,210.0,
3895,cpd:C00035,cpd:C00035,cpd:C00361,cpd:C00361,hsa00230,reaction,rn:R02019,irreversible,362.0,360.0,0.0
3896,cpd:C00385,cpd:C00385,cpd:C00366,cpd:C00366,hsa00230,reaction,rn:R02107,irreversible,343.0,341.0,1.0
3897,cpd:C00117,cpd:C00117,cpd:C00119,cpd:C00119,hsa00230,reaction,rn:R01049,irreversible,311.0,312.0,2.0
3898,cpd:C00064,cpd:C00064,cpd:C03090,cpd:C03090,hsa00230,reaction,rn:R01072,irreversible,315.0,313.0,3.0
3899,cpd:C00119,cpd:C00119,cpd:C03090,cpd:C03090,hsa00230,reaction,rn:R01072,irreversible,312.0,313.0,4.0
3900,cpd:C03090,cpd:C03090,cpd:C03838,cpd:C03838,hsa00230,reaction,rn:R04144,irreversible,313.0,376.0,5.0
3901,cpd:C03838,cpd:C03838,cpd:C04376,cpd:C04376,hsa00230,reaction,rn:R04325,irreversible,376.0,374.0,6.0
3902,cpd:C04640,cpd:C04640,cpd:C03373,cpd:C03373,hsa00230,reaction,rn:R04208,irreversible,373.0,371.0,7.0
3903,cpd:C04677,cpd:C04677,cpd:C04734,cpd:C04734,hsa00230,reaction,rn:R04560,irreversible,377.0,314.0,8.0
3904,cpd:C04823,cpd:C04823,cpd:C04677,cpd:C04677,hsa00230,reaction,rn:R04559,reversible,375.0,377.0,9.0
3905,cpd:C04751,cpd:C04751,cpd:C04823,cpd:C04823,hsa00230,reaction,rn:R04591,reversible,372.0,375.0,10.0
3906,cpd:C04751,cpd:C04751,cpd:C03373,cpd:C03373,hsa00230,reaction,rn:R04209,reversible,372.0,371.0,11.0
3907,cpd:C04734,cpd:C04734,cpd:C00130,cpd:C00130,hsa00230,reaction,rn:R01127,reversible,314.0,330.0,12.0
3908,cpd:C00002,cpd:C00002,cpd:C00008,cpd:C00008,hsa00230,reaction,rn:R00086,irreversible,390.0,324.0,13.0
3910,cpd:C00008,cpd:C00008,cpd:C00002,cpd:C00002,hsa00230,reaction,rn:R00331,reversible,324.0,390.0,15.0
3911,cpd:C00206,cpd:C00206,cpd:C00131,cpd:C00131,hsa00230,reaction,rn:R01137,reversible,322.0,323.0,16.0
3912,cpd:C00008,cpd:C00008,cpd:C00206,cpd:C00206,hsa00230,reaction,rn:R02017,irreversible,324.0,322.0,17.0
3913,cpd:C00008,cpd:C00008,cpd:C00020,cpd:C00020,hsa00230,reaction,rn:R00122,irreversible,324.0,325.0,18.0
3914,cpd:C00020,cpd:C00020,cpd:C00008,cpd:C00008,hsa00230,reaction,rn:R00127,reversible,325.0,324.0,19.0
3915,cpd:C03794,cpd:C03794,cpd:C00020,cpd:C00020,hsa00230,reaction,rn:R01083,irreversible,328.0,325.0,20.0
3916,cpd:C00130,cpd:C00130,cpd:C03794,cpd:C03794,hsa00230,reaction,rn:R01135,irreversible,330.0,328.0,21.0
3917,cpd:C00020,cpd:C00020,cpd:C00130,cpd:C00130,hsa00230,reaction,rn:R00181,irreversible,325.0,330.0,22.0
3918,cpd:C00020,cpd:C00020,cpd:C00014,cpd:C00014,hsa00230,reaction,rn:R00181,irreversible,325.0,329.0,23.0
3919,cpd:C00020,cpd:C00020,cpd:C00212,cpd:C00212,hsa00230,reaction,rn:R00183,irreversible,325.0,326.0,24.0
3920,cpd:C00212,cpd:C00212,cpd:C00020,cpd:C00020,hsa00230,reaction,rn:R00185,reversible,326.0,325.0,25.0
3921,cpd:C00020,cpd:C00020,cpd:C00147,cpd:C00147,hsa00230,reaction,rn:R00190,reversible,325.0,327.0,26.0
3922,cpd:C00360,cpd:C00360,cpd:C00559,cpd:C00559,hsa00230,reaction,rn:R02088,reversible,321.0,320.0,27.0
3923,cpd:C00559,cpd:C00559,cpd:C05512,cpd:C05512,hsa00230,reaction,rn:R02556,irreversible,320.0,319.0,28.0
3924,cpd:C05512,cpd:C05512,cpd:C00262,cpd:C00262,hsa00230,reaction,rn:R02748,reversible,319.0,332.0,29.0
3925,cpd:C01762,cpd:C01762,cpd:C00385,cpd:C00385,hsa00230,reaction,rn:R02297,reversible,367.0,343.0,30.0
3926,cpd:C00130,cpd:C00130,cpd:C00294,cpd:C00294,hsa00230,reaction,rn:R01126,irreversible,330.0,331.0,31.0
3927,cpd:C00212,cpd:C00212,cpd:C00294,cpd:C00294,hsa00230,reaction,rn:R01560,irreversible,326.0,331.0,32.0
3928,cpd:C00104,cpd:C00104,cpd:C00130,cpd:C00130,hsa00230,reaction,rn:R00961,irreversible,369.0,330.0,33.0
3929,cpd:C00104,cpd:C00104,cpd:C00081,cpd:C00081,hsa00230,reaction,rn:R00722,reversible,369.0,368.0,34.0
3930,cpd:C00081,cpd:C00081,cpd:C00104,cpd:C00104,hsa00230,reaction,rn:R00719,irreversible,368.0,369.0,35.0
3931,cpd:C00144,cpd:C00144,cpd:C00130,cpd:C00130,hsa00230,reaction,rn:R01134,irreversible,365.0,330.0,36.0
3932,cpd:C00130,cpd:C00130,cpd:C00655,cpd:C00655,hsa00230,reaction,rn:R01130,irreversible,330.0,392.0,37.0
3933,cpd:C00655,cpd:C00655,cpd:C00144,cpd:C00144,hsa00230,reaction,rn:R01230 rn:R01231,irreversible,392.0,365.0,38.0
3934,cpd:C00035,cpd:C00035,cpd:C00144,cpd:C00144,hsa00230,reaction,rn:R00328,irreversible,362.0,365.0,39.0
3936,cpd:C00262,cpd:C00262,cpd:C00130,cpd:C00130,hsa00230,reaction,rn:R01132,irreversible,332.0,330.0,41.0
3937,cpd:C00212,cpd:C00212,cpd:C00147,cpd:C00147,hsa00230,reaction,rn:R01561,reversible,326.0,327.0,42.0
3938,cpd:C00262,cpd:C00262,cpd:C00385,cpd:C00385,hsa00230,reaction,rn:R01769,irreversible,332.0,343.0,43.0
3939,cpd:C00144,cpd:C00144,cpd:C00387,cpd:C00387,hsa00230,reaction,rn:R01227,irreversible,365.0,366.0,44.0
3940,cpd:C00294,cpd:C00294,cpd:C00262,cpd:C00262,hsa00230,reaction,rn:R01863,reversible,331.0,332.0,45.0
3941,cpd:C00385,cpd:C00385,cpd:C00655,cpd:C00655,hsa00230,reaction,rn:R02142,irreversible,343.0,392.0,46.0
3942,cpd:C00655,cpd:C00655,cpd:C01762,cpd:C01762,hsa00230,reaction,rn:R02719,irreversible,392.0,367.0,47.0
3943,cpd:C00242,cpd:C00242,cpd:C00144,cpd:C00144,hsa00230,reaction,rn:R01229,irreversible,355.0,365.0,48.0
3944,cpd:C00144,cpd:C00144,cpd:C00035,cpd:C00035,hsa00230,reaction,rn:R00332,reversible,365.0,362.0,49.0
3945,cpd:C00330,cpd:C00330,cpd:C00242,cpd:C00242,hsa00230,reaction,rn:R01969,reversible,356.0,355.0,50.0
3946,cpd:C00242,cpd:C00242,cpd:C00385,cpd:C00385,hsa00230,reaction,rn:R01676,irreversible,355.0,343.0,51.0
3947,cpd:C00499,cpd:C00499,cpd:C00603,cpd:C00603,hsa00230,reaction,rn:R02422,reversible,338.0,337.0,52.0
3948,cpd:C00499,cpd:C00499,cpd:C00086,cpd:C00086,hsa00230,reaction,rn:R02422,reversible,338.0,336.0,53.0
3949,cpd:C01228,cpd:C01228,cpd:C00035,cpd:C00035,hsa00230,reaction,rn:R00336,reversible,364.0,362.0,54.0
3950,cpd:C04494,cpd:C04494,cpd:C01228,cpd:C01228,hsa00230,reaction,rn:R03409,reversible,363.0,364.0,55.0
3951,cpd:C00044,cpd:C00044,cpd:C00035,cpd:C00035,hsa00230,reaction,rn:R00335,irreversible,380.0,362.0,56.0
3952,cpd:C00035,cpd:C00035,cpd:C00044,cpd:C00044,hsa00230,reaction,rn:R00330,reversible,362.0,380.0,57.0
3953,cpd:C00362,cpd:C00362,cpd:C00361,cpd:C00361,hsa00230,reaction,rn:R02090,reversible,357.0,360.0,58.0
3954,cpd:C00361,cpd:C00361,cpd:C00286,cpd:C00286,hsa00230,reaction,rn:R01857,reversible,360.0,359.0,59.0
3955,cpd:C00362,cpd:C00362,cpd:C00330,cpd:C00330,hsa00230,reaction,rn:R01968,reversible,357.0,356.0,60.0
3956,cpd:C00387,cpd:C00387,cpd:C00242,cpd:C00242,hsa00230,reaction,rn:R02147,reversible,366.0,355.0,61.0
3957,cpd:C00044,cpd:C00044,cpd:C00942,cpd:C00942,hsa00230,reaction,rn:R00434,irreversible,380.0,382.0,62.0
3958,cpd:C00942,cpd:C00942,cpd:C00144,cpd:C00144,hsa00230,reaction,rn:R01234,irreversible,382.0,365.0,63.0
3959,cpd:C00059,cpd:C00059,cpd:C00224,cpd:C00224,hsa00230,reaction,rn:R00529,irreversible,348.0,346.0,64.0
3960,cpd:C00224,cpd:C00224,cpd:C00053,cpd:C00053,hsa00230,reaction,rn:R00509,irreversible,346.0,347.0,65.0
3961,cpd:C00262,cpd:C00262,cpd:C00385,cpd:C00385,hsa00230,reaction,rn:R01768,irreversible,332.0,343.0,66.0
3962,cpd:C00385,cpd:C00385,cpd:C00366,cpd:C00366,hsa00230,reaction,rn:R02103,irreversible,343.0,341.0,67.0
3963,cpd:C04376,cpd:C04376,cpd:C04640,cpd:C04640,hsa00230,reaction,rn:R04463,irreversible,374.0,373.0,68.0
3964,cpd:C00081,cpd:C00081,cpd:C00130,cpd:C00130,hsa00230,reaction,rn:R00720,irreversible,368.0,330.0,69.0
3965,cpd:C00700,cpd:C00700,cpd:C00655,cpd:C00655,hsa00230,reaction,rn:R02720,irreversible,393.0,392.0,70.0
3966,cpd:C01260,cpd:C01260,cpd:C00002,cpd:C00002,hsa00230,reaction,rn:R00184,irreversible,345.0,391.0,71.0
3967,cpd:C00044,cpd:C00044,cpd:C01261,cpd:C01261,hsa00230,reaction,rn:R01232,irreversible,380.0,383.0,72.0
3968,cpd:C00330,cpd:C00330,cpd:C00362,cpd:C00362,hsa00230,reaction,rn:R01967,reversible,356.0,357.0,73.0
3969,cpd:C04392,cpd:C04392,cpd:C00700,cpd:C00700,hsa00230,reaction,rn:R02805,irreversible,316.0,393.0,74.0
3971,cpd:C00301,cpd:C00301,cpd:C00117,cpd:C00117,hsa00230,reaction,rn:R01054,irreversible,389.0,311.0,76.0
3972,cpd:C00559,cpd:C00559,cpd:C00360,cpd:C00360,hsa00230,reaction,rn:R02089,irreversible,320.0,321.0,77.0
3973,cpd:C00147,cpd:C00147,cpd:C00559,cpd:C00559,hsa00230,reaction,rn:R02557,reversible,327.0,320.0,78.0
3974,cpd:C00360,cpd:C00360,cpd:C00206,cpd:C00206,hsa00230,reaction,rn:R01547,reversible,321.0,322.0,79.0
3975,cpd:C01344,cpd:C01344,cpd:C01345,cpd:C01345,hsa00230,reaction,rn:R03530,reversible,378.0,370.0,80.0
3976,cpd:C06197,cpd:C06197,cpd:C00008,cpd:C00008,hsa00230,reaction,rn:R00187,irreversible,398.0,344.0,81.0
3978,cpd:C04677,cpd:C04677,cpd:C04051,cpd:C04051,hsa00230,reaction,rn:R04378,reversible,377.0,399.0,83.0
3981,cpd:C12248,cpd:C12248,cpd:C02350,cpd:C02350,hsa00230,reaction,rn:R06604,irreversible,142.0,339.0,86.0
3984,cpd:C01344,cpd:C01344,cpd:C06196,cpd:C06196,hsa00230,reaction,rn:R10235,irreversible,378.0,396.0,89.0
3985,cpd:C01345,cpd:C01345,cpd:C06196,cpd:C06196,hsa00230,reaction,rn:R03531,irreversible,370.0,396.0,90.0
3986,cpd:C00020,cpd:C00020,cpd:C00008,cpd:C00008,hsa00230,reaction,rn:R00333,reversible,325.0,324.0,91.0
3987,cpd:C00002,cpd:C00002,cpd:C00020,cpd:C00020,hsa00230,reaction,rn:R00087,irreversible,390.0,325.0,92.0
3988,cpd:C00044,cpd:C00044,cpd:C00144,cpd:C00144,hsa00230,reaction,rn:R00426,irreversible,380.0,365.0,93.0
3991,cpd:C22395,cpd:C22395,cpd:C22441,cpd:C22441,hsa00230,reaction,rn:R12851,irreversible,465.0,468.0,96.0
3992,cpd:C22441,cpd:C22441,cpd:C22442,cpd:C22442,hsa00230,reaction,rn:R12852,irreversible,468.0,471.0,97.0
3993,cpd:C22442,cpd:C22442,cpd:C22443,cpd:C22443,hsa00230,reaction,rn:R12853,irreversible,471.0,474.0,98.0
3994,cpd:C22499,cpd:C22499,cpd:C22500,cpd:C22500,hsa00230,reaction,rn:R12988,irreversible,482.0,486.0,99.0
3995,cpd:C22499,cpd:C22499,cpd:C22500,cpd:C22500,hsa00230,reaction,rn:R12990,irreversible,482.0,486.0,100.0
3996,cpd:C00147,cpd:C00147,cpd:C22499,cpd:C22499,hsa00230,reaction,rn:R12987,irreversible,327.0,482.0,101.0
3997,cpd:C00147,cpd:C00147,cpd:C22499,cpd:C22499,hsa00230,reaction,rn:R12989,irreversible,327.0,482.0,102.0
3998,hsa:10,NAT2,cpd:C13747,C13747,hsa00232,ECrel,compound,30,55.0,63.0,
3999,cpd:C13747,C13747,hsa:1544,CYP1A2,hsa00232,ECrel,compound,30,55.0,63.0,
4000,hsa:1544,CYP1A2,cpd:C13747,C13747,hsa00232,ECrel,compound,30,54.0,55.0,
4001,cpd:C13747,C13747,hsa:10,NAT2,hsa00232,ECrel,compound,30,54.0,55.0,
4003,cpd:C13747,C13747,hsa:7498,XDH,hsa00232,ECrel,compound,30,55.0,65.0,
4010,hsa:1544,CYP1A2,cpd:C16358,C16358,hsa00232,ECrel,compound,70,38.0,40.0,
4011,cpd:C16358,C16358,hsa:7498,XDH,hsa00232,ECrel,compound,70,38.0,40.0,
4012,hsa:1548,CYP2A6,cpd:C13747,C13747,hsa00232,ECrel,compound,30,85.0,55.0,
4018,cpd:C13747,cpd:C13747,cpd:C16358,cpd:C16358,hsa00232,reaction,rn:R07943,irreversible,30.0,70.0,0.0
